id,text,Anger,Anticipation,Disgust,Fear,Joy,Love,Neutral,Sadness,Surprise,Trust,Direction,Topic
04b19fcefed25f6919fbbb8fe6ac4f1e,RT @user: Serve aggiungere altro? #Ulisse INIZIA ORA su @user e @user #Leonardo500 #LeonardoDaVinci https://t.co/3QwWm3PRIp,0,1,0,0,1,1,0,0,0,0,1,0
6320e808285b5e1613dbd28580affd21,RT @user: La differenza tra chi ha studiato ed è una donna forte ed indipendente con una mentalità aperta come la signora Maestra e…,0,0,0,0,0,0,1,0,0,0,0,0
abdddf2c6231ca527bbaf808e8c11085,Metà della sobrietà di #IlariaCucchi dovrebbe essere distribuita a tutti #CheTempoCheFa,0,0,0,0,0,0,0,0,0,1,0,1
8b6a76b34ed6bdb23d61ba9ef386ecb8,LENÙ PER PIACERE SCAPPA STO IN ANSIA PER TE TI PREGO #LAmicaGeniale,0,1,0,1,0,0,0,0,0,0,0,1
913743b451b8178fa138c7b27f26fac6,@user Nooooo!!! La signora Cecchini 😢 #DonMatteo12,0,0,0,0,0,0,0,1,0,0,0,1
a759ed87206806cfcfd9be7ea36abfb3,@user Appunto Maurizio 😁 e i loro marchio di fabbrica 😉,0,0,0,0,0,0,1,0,0,0,0,0
0900b3ecb22c05b8815d046228165ec2,RT @user: La puntata di questa sera di #Ulisse sui rastrellamenti di ebrei in Italia andrebbe proiettata in tutte le scuole.,0,0,0,0,0,0,0,0,0,1,0,0
46e134f4ebbefefe2f939c9c380a28b6,RT @user: L'Italia è una repubblica fondata su Piero e Alberto Angela. #Ulisse #MoonDay #MoonDayRai https://t.co/0roFSXKgUE,0,0,0,0,0,1,0,0,0,1,1,0
7dc4cab2f41cd5229ec57a465e4d25c4,Chi ci deve pensare alla drogah? #chilhavisters #teamdivano #chilhavisto,0,0,0,0,0,0,1,0,0,0,0,1
e9548c8572aeae0fc3af3ef3b69ee94b,"RT @user: Questa sera alle 21:25 su @user a ""Una storia da cantare""porteremo la versione de ""Il Bombarolo"" preparata per ""Faber…",0,1,0,0,0,0,0,0,0,0,1,1
ec4f4f1514c51b385f72ef7251a1aadf,Comunque a Lino non fa bene vedere la puntata con noi mi sa eh 😂 #LaPortaRossa2,0,0,0,0,1,0,0,0,0,0,1,1
8b905edda9413362b039037cdaf76df5,Quando due piccoli amanti risolvono tutto #IMedici,0,0,0,0,1,0,0,0,0,0,0,1
31daccaca0dd7752eb98e3ab65ae0ca8,RT @user: CIAOOOOOOONE ARTHUR. ALICE HA SCELTO CLAUDIO. CLAUDIO HA DETTO TI AMO AD ALICE. ALICE È CORSA DA CLAUDIO. E IN TUTTO Q…,0,0,0,0,1,0,0,0,0,0,0,1
